EID Prefix,Reply Type,Recieved From,RLOC Addresses,RLOC Priorities,RLOC Weights,RLOC States,New Deployed Count,Configuration Count ,Recieved From Count,Receievd not From RLOCs 
0.0.0.0:3,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.192.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.70.0:28,LISP Reply,125.30.44.107,"['221.189.114.163', '2001:380:6fc::1']","['1', '1']","['50', '50']","['Up', 'Up']",0,0,0,7
153.16.160.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.96.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.16.80.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
32.0.0.0:6,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
36.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.17.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.18.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.0.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.20.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.24.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.32.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.64.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.64.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
153.128.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.72.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
154.0.0.0:7,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.76.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
156.0.0.0:6,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.0.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.32.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.48.0:21,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.0:27,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
160.0.0.0:3,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.32:31,LISP Reply,95.97.83.93,['95.97.83.93'],['10'],['100'],['Up'],0,0,0,0
37.77.56.36:30,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.40:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
192.0.0.0:7,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.48:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.56.64:26,LISP Reply,95.97.83.93,['95.97.83.93'],['10'],['100'],['Up'],0,0,0,0
37.77.56.128:25,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.0.0.0:9,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.128.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.192.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.224.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.60:30,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.64:26,LISP Reply,95.97.176.115,['95.97.176.115'],['1'],['50'],['Up'],0,0,0,0
37.77.57.128:26,LISP Reply,176.74.253.154,['176.74.253.154'],['100'],['100'],['Up'],0,0,0,0
194.226.0.0:17,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.57.196:30,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.226.160.0:19,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.226.192.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.227.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.0:26,LISP Reply,95.96.53.169,['95.96.53.169'],['1'],['100'],['Up'],0,0,0,0
37.77.58.72:29,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.228.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.80:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.232.0.0:13,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
194.240.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
195.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.176:28,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
196.0.0.0:7,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.58.192:26,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
198.0.0.0:8,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.0.0.0:10,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.59.0:24,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.60.0:22,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.64.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.77.128.0:17,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.64.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.96.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.78.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.112.0.0:14,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.80.0.0:12,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
37.96.0.0:11,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.116.0.0:15,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.118.0.0:16,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.119.0.0:18,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
199.119.80.0:20,Negative Reply,217.8.97.6,[''],[''],[''],[''],0,0,0,0
